id,title,gherkin,effort,time
40,Integración con API de mensajería,Feature: Notificaciones\nScenario: Admin recibe notificación en Slack\nGiven un evento crítico ocurre\nWhen el sistema envía notificación\nThen se envía mensaje a canal de Slack,13,18
41,Validación de formato de email,Feature: Registro\nScenario: Usuario ingresa email inválido\nGiven en página de registro\nWhen ingreso email inválido\nThen veo mensaje de error,3,4
42,Eliminar cuenta de usuario,"Feature: Perfil\nScenario: Usuario elimina su cuenta\nGiven en configuración de perfil\nWhen selecciono ""Eliminar cuenta""\nThen la cuenta se marca como eliminada",8,10
43,Generar gráfico de ventas,"Feature: Reportes\nScenario: Admin ve gráfico de ventas\nGiven en panel de reportes\nWhen selecciono ""Gráfico de ventas""\nThen veo gráfico con datos de ventas",8,12
44,Autocompletado en búsqueda de productos,"Feature: Búsqueda\nScenario: Usuario usa autocompletado\nGiven en barra de búsqueda\nWhen escribo ""lap""\nThen veo sugerencias como ""laptop""",5,7
45,Agregar dirección de envío,Feature: Perfil\nScenario: Usuario agrega dirección\nGiven en sección de direcciones\nWhen ingreso datos válidos\nThen la dirección se guarda,5,8
46,Cambiar idioma de la aplicación,"Feature: Configuración\nScenario: Usuario cambia el idioma\nGiven estoy en la configuración de la aplicación\nWhen selecciono el idioma ""Español""\nThen la interfaz se actualiza al idioma seleccionado",5,8
47,Ver estadísticas de visitas a producto,"Feature: Panel admin\nScenario: Admin ve estadísticas de producto\nGiven estoy en el panel de productos\nWhen selecciono ""Estadísticas"" de un producto\nThen veo gráfico de visitas por día",8,12
48,Agregar método de pago guardado,Feature: Perfil\nScenario: Usuario guarda tarjeta de crédito\nGiven estoy en la sección de métodos de pago\nWhen ingreso datos válidos de tarjeta\nThen la tarjeta se guarda para pagos futuros,8,10
49,Filtrar pedidos por estado,"Feature: Historial de pedidos\nScenario: Usuario filtra pedidos por estado\nGiven estoy en el historial de pedidos\nWhen selecciono filtro ""Enviado""\nThen veo solo pedidos con estado enviado",5,6
50,Integración con API de envío,Feature: Checkout\nScenario: Sistema calcula costo de envío\nGiven estoy en checkout\nWhen ingreso dirección de envío\nThen veo costo de envío calculado por API,13,20
51,Eliminar comentario de producto,Feature: Detalle de producto\nScenario: Usuario elimina su comentario\nGiven estoy en página de producto\nWhen elimino mi comentario\nThen el comentario desaparece de la lista,5,7
52,Notificación SMS de confirmación de pedido,Feature: Notificaciones\nScenario: Usuario recibe SMS tras pago\nGiven el pago es exitoso\nWhen el sistema procesa el pedido\nThen recibo un SMS de confirmación,8,12
53,Exportar estadísticas a JSON,"Feature: Reportes admin\nScenario: Admin exporta estadísticas\nGiven estoy en panel de reportes\nWhen selecciono ""Exportar a JSON""\nThen se descarga archivo ""estadisticas.json""",5,9
54,Autenticación con Facebook,"Feature: Autenticación\nScenario: Usuario inicia sesión con Facebook\nGiven estoy en página de login\nWhen selecciono ""Iniciar con Facebook""\nThen se autentica y redirige al dashboard",13,18
55,Ver recomendaciones de productos,"Feature: Lista de productos\nScenario: Usuario ve productos recomendados\nGiven estoy en la página principal\nWhen navego a sección ""Recomendados""\nThen veo productos basados en mi historial",8,12
56,Agregar producto a comparación,"Feature: Comparación de productos\nScenario: Usuario compara productos\nGiven estoy en página de producto\nWhen clico ""Agregar a comparación""\nThen el producto se agrega a la lista de comparación",3,5
57,Notificación de reembolso procesado,Feature: Notificaciones\nScenario: Usuario recibe notificación de reembolso\nGiven se procesa un reembolso\nWhen el sistema confirma el reembolso\nThen recibo una notificación por email,8,10
58,Desactivar cuenta de usuario,Feature: Gestión usuarios\nScenario: Admin desactiva cuenta\nGiven en panel de usuarios\nWhen marco usuario como desactivado\nThen el usuario no puede iniciar sesión,5,7
59,Filtrar productos por disponibilidad,"Feature: Lista de productos\nScenario: Usuario filtra por disponibilidad\nGiven estoy en lista de productos\nWhen selecciono ""En stock""\nThen veo solo productos disponibles",5,6
60,Integración con API de reseñas externas,Feature: Detalle de producto\nScenario: Mostrar reseñas externas\nGiven estoy en página de producto\nWhen el sistema consulta API de reseñas\nThen veo reseñas externas en la página,13,18
61,Validación de dirección de envío,Feature: Checkout\nScenario: Usuario ingresa dirección inválida\nGiven estoy en checkout\nWhen ingreso dirección incompleta\nThen veo mensaje de error,3,4
62,Cambiar estado de pedido,"Feature: Panel admin\nScenario: Admin actualiza estado de pedido\nGiven estoy en panel de pedidos\nWhen cambio estado a ""Entregado""\nThen el estado se actualiza en BD",8,10
63,Generar factura en PDF,"Feature: Checkout\nScenario: Usuario descarga factura\nGiven el pago es exitoso\nWhen clico ""Descargar factura""\nThen se descarga archivo ""factura.pdf""",8,12
64,Autocompletado en búsqueda de usuarios,"Feature: Panel admin\nScenario: Admin usa autocompletado\nGiven en panel de usuarios\nWhen escribo ""joh"" en búsqueda\nThen veo sugerencias como ""John""",5,7
65,Agregar cupón a campaña promocional,Feature: Panel admin\nScenario: Admin crea cupón promocional\nGiven estoy en panel de promociones\nWhen ingreso datos de cupón\nThen el cupón se guarda y activa,8,10
66,Ver historial de pagos,"Feature: Perfil\nScenario: Usuario ve historial de pagos\nGiven estoy en sección de pagos\nWhen navego a ""Historial""\nThen veo lista de pagos realizados",5,8
67,Notificación de cambio de precio,Feature: Notificaciones\nScenario: Usuario recibe alerta de precio\nGiven estoy suscrito a producto\nWhen el precio cambia\nThen recibo notificación por email,8,10
68,Proteger formulario contra CSRF,Feature: Seguridad\nScenario: Formulario protegido contra CSRF\nGiven estoy en un formulario\nWhen envío datos sin token CSRF\nThen recibo error de seguridad,5,7
69,Filtrar reportes por usuario,Feature: Reportes admin\nScenario: Admin filtra reportes por usuario\nGiven estoy en panel de reportes\nWhen selecciono un usuario\nThen veo reportes asociados al usuario,5,6
70,Integración con API de análisis,Feature: Estadísticas\nScenario: Admin ve análisis de uso\nGiven estoy en panel de estadísticas\nWhen consulto API de análisis\nThen veo métricas de uso en dashboard,13,18
71,Validación de cupón en checkout,Feature: Checkout\nScenario: Sistema valida cupón\nGiven estoy en checkout\nWhen ingreso cupón vencido\nThen veo mensaje de error,3,4
72,Eliminar dirección de envío,Feature: Perfil\nScenario: Usuario elimina dirección\nGiven estoy en sección de direcciones\nWhen elimino una dirección\nThen la dirección desaparece de la lista,5,7
73,Generar reporte de usuarios activos,"Feature: Reportes admin\nScenario: Admin genera reporte de usuarios\nGiven estoy en panel de reportes\nWhen selecciono ""Usuarios activos""\nThen se descarga archivo ""usuarios_activos.csv""",5,9
74,Agregar producto a categoría,"Feature: Panel admin\nScenario: Admin asigna categoría a producto\nGiven estoy en edición de producto\nWhen selecciono categoría ""Electrónica""\nThen el producto se asocia a la categoría",5,6
75,Notificación de cuenta comprometida,Feature: Seguridad\nScenario: Sistema detecta login sospechoso\nGiven detecto actividad sospechosa\nWhen el sistema procesa la alerta\nThen el usuario recibe notificación por email,8,10
76,Importar productos desde CSV,Feature: Gestión de productos\nScenario: Admin importa productos desde archivo\nGiven estoy en el panel de productos\nWhen subo un archivo CSV válido\nThen los productos se añaden a la base de datos,8,12
77,Ver notificaciones en la aplicación,Feature: Notificaciones\nScenario: Usuario ve notificaciones internas\nGiven estoy en la aplicación\nWhen abro el panel de notificaciones\nThen veo lista de notificaciones recientes,5,7
78,Integración con API de clima,Feature: Personalización\nScenario: Mostrar clima en dashboard\nGiven estoy en el dashboard\nWhen el sistema consulta la API de clima\nThen veo el clima actual en mi ubicación,13,18
79,Validación de stock en checkout,Feature: Checkout\nScenario: Sistema valida stock antes de pagar\nGiven estoy en checkout con productos\nWhen el stock es insuficiente\nThen veo mensaje de error,5,6
80,Generar código QR para producto,"Feature: Detalle de producto\nScenario: Admin genera QR para producto\nGiven estoy en edición de producto\nWhen selecciono ""Generar QR""\nThen se descarga un código QR con enlace al producto",8,10
81,Filtrar comentarios por calificación,"Feature: Detalle de producto\nScenario: Usuario filtra comentarios por estrellas\nGiven estoy en página de producto\nWhen selecciono filtro ""5 estrellas""\nThen veo solo comentarios con 5 estrellas",5,6
82,Notificación push de oferta especial,Feature: Notificaciones\nScenario: Usuario recibe oferta especial\nGiven estoy suscrito a ofertas\nWhen se crea una oferta especial\nThen recibo notificación push,8,10
83,Exportar historial de pagos a PDF,"Feature: Reportes usuario\nScenario: Usuario exporta historial de pagos\nGiven estoy en historial de pagos\nWhen clico ""Exportar a PDF""\nThen se descarga archivo ""pagos.pdf""",5,9
84,Autenticación con Apple ID,"Feature: Autenticación\nScenario: Usuario inicia sesión con Apple ID\nGiven estoy en página de login\nWhen selecciono ""Iniciar con Apple""\nThen se autentica y redirige al dashboard",13,18
85,Ver productos más vendidos,"Feature: Lista de productos\nScenario: Usuario ve productos populares\nGiven estoy en la página principal\nWhen navego a ""Más vendidos""\nThen veo lista de productos más vendidos",5,7
86,Agregar producto a favoritos,"Feature: Favoritos\nScenario: Usuario marca producto como favorito\nGiven estoy en página de producto\nWhen clico ""Añadir a favoritos""\nThen el producto aparece en mis favoritos",3,4
87,Notificación de entrega programada,Feature: Notificaciones\nScenario: Usuario recibe alerta de entrega\nGiven mi pedido está en tránsito\nWhen se programa la entrega\nThen recibo notificación por email,8,10
88,Restringir acceso por rol,Feature: Seguridad\nScenario: Sistema restringe acceso por rol\nGiven estoy autenticado\nWhen intento acceder a página de admin\nThen veo error si no tengo rol admin,5,7
89,Filtrar productos por marca,"Feature: Lista de productos\nScenario: Usuario filtra por marca\nGiven estoy en lista de productos\nWhen selecciono marca ""Samsung""\nThen veo solo productos de esa marca",5,6
90,Integración con API de chat en vivo,"Feature: Soporte\nScenario: Usuario inicia chat en vivo\nGiven estoy en página de soporte\nWhen clico ""Iniciar chat""\nThen se abre ventana de chat conectada a API",13,18
91,Validación de código promocional,Feature: Checkout\nScenario: Sistema valida código promocional\nGiven estoy en checkout\nWhen ingreso código inválido\nThen veo mensaje de error,3,4
92,Eliminar producto de favoritos,Feature: Favoritos\nScenario: Usuario elimina producto de favoritos\nGiven estoy en lista de favoritos\nWhen elimino un producto\nThen el producto desaparece de la lista,3,4
93,Generar reporte de carritos abandonados,"Feature: Reportes admin\nScenario: Admin ve carritos abandonados\nGiven estoy en panel de reportes\nWhen selecciono ""Carritos abandonados""\nThen se descarga archivo ""carritos_abandonados.csv""",8,12
94,Agregar etiqueta a producto,"Feature: Panel admin\nScenario: Admin asigna etiqueta a producto\nGiven estoy en edición de producto\nWhen añado etiqueta ""Oferta""\nThen la etiqueta se asocia al producto",5,6
95,Notificación de cuenta reactivada,Feature: Gestión usuarios\nScenario: Usuario recibe alerta de reactivación\nGiven mi cuenta está desactivada\nWhen admin reactiva mi cuenta\nThen recibo notificación por email,8,10
96,Importar usuarios desde CSV,Feature: Gestión usuarios\nScenario: Admin importa usuarios desde archivo\nGiven estoy en panel de usuarios\nWhen subo un archivo CSV válido\nThen los usuarios se añaden a la base de datos,8,12
97,Ver historial de cambios de producto,"Feature: Panel admin\nScenario: Admin ve cambios de producto\nGiven estoy en edición de producto\nWhen selecciono ""Historial de cambios""\nThen veo lista de modificaciones",5,8
98,Proteger API contra abuso,Feature: Seguridad\nScenario: Sistema limita solicitudes a API\nGiven envío múltiples solicitudes rápidas\nWhen excedo el límite\nThen recibo error 429,8,10
99,Filtrar pedidos por fecha,Feature: Historial de pedidos\nScenario: Usuario filtra pedidos por fecha\nGiven estoy en historial de pedidos\nWhen selecciono rango de fechas\nThen veo pedidos en ese rango,5,6
100,Integración con API de reseñas sociales,Feature: Detalle de producto\nScenario: Mostrar reseñas de redes sociales\nGiven estoy en página de producto\nWhen consulto API de reseñas sociales\nThen veo reseñas de redes en la página,13,18
101,Validación de cantidad en carrito,Feature: Carrito\nScenario: Sistema valida cantidad de productos\nGiven estoy en el carrito\nWhen ingreso cantidad mayor al stock\nThen veo mensaje de error,3,4
102,Eliminar cuenta de administrador,Feature: Gestión usuarios\nScenario: Superadmin elimina cuenta admin\nGiven estoy en panel de usuarios como superadmin\nWhen elimino cuenta de admin\nThen la cuenta se marca como eliminada,8,10
103,Generar reporte de ingresos por categoría,"Feature: Reportes admin\nScenario: Admin ve ingresos por categoría\nGiven estoy en panel de reportes\nWhen selecciono ""Ingresos por categoría""\nThen se descarga archivo ""ingresos_categoria.csv""",8,12
104,Agregar producto a promoción,Feature: Panel admin\nScenario: Admin añade producto a promoción\nGiven estoy en panel de promociones\nWhen asocio producto a promoción\nThen el producto aparece en la promoción,5,6
105,Notificación de cambio de estado de pedido,Feature: Notificaciones\nScenario: Usuario recibe alerta de estado\nGiven mi pedido cambia de estado\nWhen el sistema procesa el cambio\nThen recibo notificación por email,8,10
106,Ver historial de notificaciones,"Feature: Notificaciones\nScenario: Usuario revisa historial de notificaciones\nGiven estoy en el panel de notificaciones\nWhen selecciono ""Ver historial""\nThen veo lista de notificaciones pasadas",5,8
107,Integración con API de seguimiento de envíos,Feature: Seguimiento de pedidos\nScenario: Usuario rastrea pedido\nGiven estoy en detalles de pedido\nWhen consulto seguimiento\nThen veo estado actual vía API,13,18
108,Validación de formato de teléfono,Feature: Perfil\nScenario: Usuario ingresa teléfono inválido\nGiven estoy en edición de perfil\nWhen ingreso número inválido\nThen veo mensaje de error,3,4
109,Filtrar productos por rango de descuento,"Feature: Lista de productos\nScenario: Usuario filtra por descuento\nGiven estoy en lista de productos\nWhen selecciono ""Descuentos 20-50%""\nThen veo productos con descuento en rango",5,6
110,Generar reporte de usuarios inactivos,"Feature: Reportes admin\nScenario: Admin ve usuarios inactivos\nGiven estoy en panel de reportes\nWhen selecciono ""Usuarios inactivos""\nThen se descarga archivo ""usuarios_inactivos.csv""",8,12
111,Agregar comentario a pedido,Feature: Detalle de pedido\nScenario: Usuario agrega comentario\nGiven estoy en detalles de pedido\nWhen ingreso comentario y envío\nThen el comentario se guarda,5,7
112,Notificación push de nuevo comentario,Feature: Notificaciones\nScenario: Admin recibe alerta de comentario\nGiven un usuario agrega comentario\nWhen el comentario se guarda\nThen admin recibe notificación push,8,10
113,Exportar comentarios a CSV,"Feature: Detalle de producto\nScenario: Admin exporta comentarios\nGiven estoy en página de producto\nWhen clico ""Exportar comentarios""\nThen se descarga archivo ""comentarios.csv""",5,9
114,Autenticación con código OTP,Feature: Autenticación\nScenario: Usuario inicia sesión con OTP\nGiven estoy en página de login\nWhen ingreso código OTP válido\nThen se autentica y redirige al dashboard,13,18
115,Ver productos relacionados,"Feature: Detalle de producto\nScenario: Usuario ve productos relacionados\nGiven estoy en página de producto\nWhen navego a ""Productos relacionados""\nThen veo lista de productos similares",5,7
116,Agregar producto a lista compartida,"Feature: Lista de deseos\nScenario: Usuario comparte lista\nGiven estoy en mi lista de deseos\nWhen selecciono ""Compartir lista""\nThen genero enlace para compartir",3,5
117,Notificación de stock reabastecido,Feature: Notificaciones\nScenario: Usuario recibe alerta de stock\nGiven estoy suscrito a producto sin stock\nWhen el stock se reabastece\nThen recibo notificación por email,8,10
118,Restringir acceso por IP,Feature: Seguridad\nScenario: Sistema restringe acceso por IP\nGiven estoy autenticado\nWhen intento acceder desde IP no autorizada\nThen veo error de acceso,8,10
119,Filtrar pedidos por método de pago,"Feature: Historial de pedidos\nScenario: Admin filtra pedidos por pago\nGiven estoy en panel de pedidos\nWhen selecciono ""Tarjeta de crédito""\nThen veo pedidos con ese método",5,6
120,Integración con API de promociones externas,Feature: Promociones\nScenario: Mostrar promociones externas\nGiven estoy en página de promociones\nWhen consulto API de promociones\nThen veo promociones externas,13,18
121,Validación de campos en formulario de contacto,Feature: Soporte\nScenario: Usuario envía formulario inválido\nGiven estoy en página de contacto\nWhen envío formulario sin datos requeridos\nThen veo mensaje de error,3,4
122,Eliminar comentario de pedido,Feature: Detalle de pedido\nScenario: Admin elimina comentario\nGiven estoy en detalles de pedido\nWhen elimino un comentario\nThen el comentario desaparece,5,7
123,Generar reporte de productos más buscados,"Feature: Reportes admin\nScenario: Admin ve productos más buscados\nGiven estoy en panel de reportes\nWhen selecciono ""Productos buscados""\nThen se descarga archivo ""busquedas.csv""",8,12
124,Agregar atributo personalizado a producto,"Feature: Panel admin\nScenario: Admin añade atributo\nGiven estoy en edición de producto\nWhen agrego atributo ""Color""\nThen el atributo se asocia al producto",5,6
125,Notificación de sesión expirada,Feature: Seguridad\nScenario: Sistema notifica sesión expirada\nGiven mi sesión ha expirado\nWhen intento realizar acción\nThen recibo alerta de sesión,5,7
126,Importar categorías desde CSV,Feature: Gestión de categorías\nScenario: Admin importa categorías\nGiven estoy en panel de categorías\nWhen subo archivo CSV válido\nThen las categorías se añaden a la BD,8,12
127,Ver historial de cambios de usuario,"Feature: Panel admin\nScenario: Admin ve cambios de usuario\nGiven estoy en detalles de usuario\nWhen selecciono ""Historial de cambios""\nThen veo lista de modificaciones",5,8
128,Proteger formulario contra XSS,Feature: Seguridad\nScenario: Sistema previene ataque XSS\nGiven estoy en un formulario\nWhen ingreso script malicioso\nThen el sistema sanitiza la entrada,8,10
129,Filtrar reportes por región,"Feature: Reportes admin\nScenario: Admin filtra reportes por región\nGiven estoy en panel de reportes\nWhen selecciono región ""Latinoamérica""\nThen veo reportes de esa región",5,6
130,Integración con API de recomendaciones,Feature: Lista de productos\nScenario: Mostrar recomendaciones dinámicas\nGiven estoy en página de producto\nWhen consulto API de recomendaciones\nThen veo productos recomendados,13,18
131,Validación de cupón por usuario,Feature: Checkout\nScenario: Sistema valida cupón por usuario\nGiven estoy en checkout\nWhen ingreso cupón ya usado\nThen veo mensaje de error,3,4
132,Eliminar categoría de producto,Feature: Panel admin\nScenario: Admin elimina categoría\nGiven estoy en edición de producto\nWhen elimino categoría asociada\nThen la categoría se desasocia,5,6
133,Generar reporte de sesiones activas,"Feature: Reportes admin\nScenario: Admin ve sesiones activas\nGiven estoy en panel de reportes\nWhen selecciono ""Sesiones activas""\nThen se descarga archivo ""sesiones.csv""",8,12
134,Agregar producto a bundle,Feature: Panel admin\nScenario: Admin crea bundle de productos\nGiven estoy en panel de productos\nWhen asocio productos a bundle\nThen el bundle se crea,8,10
135,Notificación de nuevo usuario registrado,Feature: Notificaciones\nScenario: Admin recibe alerta de registro\nGiven un usuario se registra\nWhen el registro se completa\nThen admin recibe notificación por email,5,7
136,Cachear resultados de búsqueda de productos,Feature: Optimización backend\nScenario: Sistema cachea resultados de búsqueda\nGiven un usuario realiza una búsqueda\nWhen los resultados se generan\nThen el backend guarda resultados en caché,8,12
137,Procesar reembolsos en el servidor,Feature: Gestión de pagos\nScenario: Sistema procesa reembolso\nGiven un pedido es elegible para reembolso\nWhen el admin solicita reembolso\nThen el backend procesa el reembolso vía API de pagos,13,20
138,Validar integridad de datos en importación,Feature: Gestión de datos\nScenario: Sistema valida archivo CSV importado\nGiven el admin sube un CSV de productos\nWhen el archivo contiene datos inválidos\nThen el backend rechaza la importación con errores,8,10
139,Optimizar consulta de historial de pedidos,Feature: Optimización backend\nScenario: Sistema optimiza consulta de pedidos\nGiven un usuario accede al historial\nWhen el backend ejecuta la consulta\nThen la respuesta se genera en menos de 1 segundo,13,18
140,Implementar webhook para notificaciones externas,Feature: Integraciones\nScenario: Sistema envía webhook por evento\nGiven ocurre un evento como nuevo pedido\nWhen el backend procesa el evento\nThen se envía un webhook a URL configurada,13,18
141,Encriptar datos sensibles en BD,Feature: Seguridad\nScenario: Sistema encripta datos de usuario\nGiven un usuario ingresa datos sensibles\nWhen se guardan en la base de datos\nThen los datos están encriptados,8,12
142,Procesar pagos recurrentes,Feature: Pagos\nScenario: Sistema procesa suscripción mensual\nGiven un usuario tiene suscripción activa\nWhen llega la fecha de cobro\nThen el backend procesa pago vía API,13,20
143,Implementar auditoría de cambios en BD,Feature: Auditoría\nScenario: Sistema registra cambios en productos\nGiven un admin modifica un producto\nWhen el cambio se guarda\nThen el backend registra el cambio en log de auditoría,8,10
